Наименование,Описание,Цена,Старая цена,Местоположение,Ссылка
"<img src=""https://02.img.avito.st/208x156/8932271102.jpg"">","BMW X5, 2001","170 000 км, 3.0 AT (231 л.с.), внедорожник, полный, бензин",370 000 ₽,-,Архангельская область,https://www.avito.ru/novodvinsk/avtomobili/bmw_x5_2001_1971153700
"<img src=""https://54.img.avito.st/208x156/9985497754.jpg"">","BMW X5, 2015","41 000 км, 3.0 AT (249 л.с.), внедорожник, полный, дизель",3 550 000 ₽,-,"Краснодарский край, муниципальное образование Краснодар, пос. Лазурный",https://www.avito.ru/krasnodar/avtomobili/bmw_x5_2015_2038978654
"<img src=""https://24.img.avito.st/208x156/10817059624.jpg"">","BMW X5, 2007","225 632 км, 4.8 AT (355 л.с.), внедорожник, полный, бензин",750 000 ₽,-,"Московская область, Дмитровский г.о., Дмитров",https://www.avito.ru/dmitrov/avtomobili/bmw_x5_2007_2112873334
"<img src=""https://35.img.avito.st/208x156/10384831035.jpg"">","BMW X5, 2009","264 000 км, 3.0 AT (272 л.с.), внедорожник, полный, бензин",950 000 ₽,-,"Московская область, г.о. Красногорск, пос. Архангельское",https://www.avito.ru/moskovskaya_oblast_krasnogorsk/avtomobili/bmw_x5_2009_2087189763
"<img src=""https://72.img.avito.st/208x156/8156951072.jpg"">","BMW X5, 2011","190 000 км, 3.0 AT (306 л.с.), внедорожник, полный, бензин",1 600 000 ₽,-,"Тюменская область, г.о. Новый Уренгой",https://www.avito.ru/novyy_urengoy/avtomobili/bmw_x5_2011_1876652983
"<img src=""https://61.img.avito.st/208x156/10389450961.jpg"">","BMW X5, 2011","210 500 км, 3.0 AT (306 л.с.), внедорожник, полный, бензин",1 400 000 ₽,-,Санкт-Петербург,https://www.avito.ru/sankt-peterburg/avtomobili/bmw_x5_2011_2084793117
"<img src=""https://05.img.avito.st/208x156/10805050705.jpg"">","BMW X5, 2004","325 000 км, 3.0 AT (231 л.с.), внедорожник, полный, бензин",550 000 ₽,-,"Республика Крым, Симферополь",https://www.avito.ru/simferopol/avtomobili/bmw_x5_2004_2095515977
"<img src=""https://81.img.avito.st/208x156/10797134881.jpg"">","BMW X5, 2008","235 000 км, 3.0 AT (272 л.с.), внедорожник, полный, бензин",880 000 ₽,-,"Архангельская область, Северодвинск",https://www.avito.ru/severodvinsk/avtomobili/bmw_x5_2008_2132272882
"<img src=""https://73.img.avito.st/208x156/10292393573.jpg"">","BMW X5, 2021","3.0 AT (249 л.с.), внедорожник, полный, дизель",8 871 000 ₽,-,"Московская область, Химки",https://www.avito.ru/himki/avtomobili/bmw_x5_2021_2052005872
"<img src=""https://01.img.avito.st/208x156/10819917101.jpg"">","BMW X5, 2011","202 000 км, 3.0 AT (306 л.с.), внедорожник, полный, дизель",1 500 000 ₽,-,"Санкт-Петербург, Пушкинский р-н, пос. Шушары",https://www.avito.ru/sankt-peterburg/avtomobili/bmw_x5_2011_2137583976
"<img src=""https://66.img.avito.st/208x156/10829056666.jpg"">","BMW X5, 2008","205 154 км, 3.0 AT (272 л.с.), внедорожник, полный, бензин",985 000 ₽,-,"Ростовская область, Ростов-на-Дону",https://www.avito.ru/rostov-na-donu/avtomobili/bmw_x5_2008_2129385800
"<img src=""https://50.img.avito.st/208x156/10015635950.jpg"">","BMW X5, 2000","430 000 км, 4.4 AT (286 л.с.), внедорожник, полный, бензин",450 000 ₽,-,"Псковская область, Псков",https://www.avito.ru/pskov/avtomobili/bmw_x5_2000_2023776663
"<img src=""https://15.img.avito.st/208x156/10817115515.jpg"">","BMW X5, 2021","3.0 AT (340 л.с.), внедорожник, полный, бензин",7 758 900 ₽,-,Москва,https://www.avito.ru/moskva/avtomobili/bmw_x5_2021_2135755917
"<img src=""https://79.img.avito.st/208x156/10823838379.jpg"">","BMW X5, 2001","285 000 км, 4.4 AT (286 л.с.), внедорожник, полный, бензин",440 000 ₽,-,"Московская область, Ленинский г.о., Видное",https://www.avito.ru/vidnoe/avtomobili/bmw_x5_2001_2139582694
"<img src=""https://17.img.avito.st/208x156/10695925617.jpg"">","BMW X5, 2016","86 000 км, 3.0 AT (313 л.с.), внедорожник, полный, дизель",3 550 000 ₽,-,"Республика Коми, Сыктывкар",https://www.avito.ru/syktyvkar/avtomobili/bmw_x5_2016_2102767645
"<img src=""https://88.img.avito.st/208x156/10718347088.jpg"">","BMW X5, 2021","3.0 AT (340 л.с.), внедорожник, полный, дизель",от 8 129 000 ₽,8 430 000 ₽ без скидки,"Краснодарский край, Краснодар",https://www.avito.ru/krasnodar/avtomobili/bmw_x5_2021_2108490102
"<img src=""https://38.img.avito.st/208x156/10820581938.jpg"">","BMW X5, 2020","17 000 км, 3.0 AT (249 л.с.), внедорожник, полный, дизель",6 220 000 ₽,-,"Республика Татарстан, Казань",https://www.avito.ru/kazan/avtomobili/bmw_x5_2020_2080407756
"<img src=""https://49.img.avito.st/208x156/10805735449.jpg"">","BMW X5, 2005","182 000 км, 4.4 AT (320 л.с.), внедорожник, полный, бензин",610 000 ₽,-,Москва,https://www.avito.ru/moskva/avtomobili/bmw_x5_2005_2007522662
"<img src=""https://41.img.avito.st/208x156/10755982841.jpg"">","BMW X5, 2015","190 000 км, 3.0 AT (249 л.с.), внедорожник, полный, дизель",2 585 000 ₽,-,Санкт-Петербург,https://www.avito.ru/sankt-peterburg/avtomobili/bmw_x5_2015_2094300926
"<img src=""https://74.img.avito.st/208x156/10819893474.jpg"">","BMW X5, 2003","330 000 км, 3.0 AT (231 л.с.), внедорожник, полный, бензин",510 000 ₽,-,"Республика Мордовия, Рузаевский р-н, Рузаевка",https://www.avito.ru/ruzaevka/avtomobili/bmw_x5_2003_2115738292
"<img src=""https://63.img.avito.st/208x156/10605713163.jpg"">","BMW X5, 2020","3.0 AT (340 л.с.), внедорожник, полный, бензин",от 8 375 000 ₽,9 045 000 ₽ без скидки,Санкт-Петербург,https://www.avito.ru/sankt-peterburg/avtomobili/bmw_x5_2020_2062755598
"<img src=""https://04.img.avito.st/208x156/10594845704.jpg"">","BMW X5, 2021","3.0 AT (340 л.с.), внедорожник, полный, бензин",от 7 846 800 ₽,8 746 800 ₽ без скидки,"Московская область, Химки",https://www.avito.ru/himki/avtomobili/bmw_x5_2021_2084231869
"<img src=""https://51.img.avito.st/208x156/10827067951.jpg"">","BMW X5, 2019","30 000 км, 3.0 AT (249 л.с.), внедорожник, полный, дизель",6 000 000 ₽,-,"Брянская область, Брянск",https://www.avito.ru/bryansk/avtomobili/bmw_x5_2019_2139447884
"<img src=""https://23.img.avito.st/208x156/10814126223.jpg"">","BMW X5, 2014","139 000 км, 3.0 AT (306 л.с.), внедорожник, полный, бензин",2 290 000 ₽,-,Москва,https://www.avito.ru/moskva/avtomobili/bmw_x5_2014_2135178678
"<img src=""https://70.img.avito.st/208x156/10018313770.jpg"">","BMW X5, 2013","175 000 км, 3.0 AT (249 л.с.), внедорожник, полный, дизель",2 450 000 ₽,-,"Белгородская область, Белгород",https://www.avito.ru/belgorod/avtomobili/bmw_x5_2013_2014057471
"<img src=""https://14.img.avito.st/208x156/10826477714.jpg"">","BMW X5, 2005","300 000 км, 4.8 AT (360 л.с.), внедорожник, полный, бензин",590 000 ₽,-,"Ставропольский край, Невинномысск",https://www.avito.ru/nevinnomyssk/avtomobili/bmw_x5_2005_2117561111
"<img src=""https://02.img.avito.st/208x156/8701845502.jpg"">","BMW X5, 2008","240 000 км, 3.0 AT (272 л.с.), внедорожник, полный, бензин",850 000 ₽,-,"Московская область, Одинцовский г.о., Одинцово",https://www.avito.ru/odintsovo/avtomobili/bmw_x5_2008_1946983096
"<img src=""https://02.img.avito.st/208x156/10784802402.jpg"">","BMW X5, 2016","147 000 км, 3.0 AT (218 л.с.), внедорожник, полный, дизель",2 517 000 ₽,-,"Псковская область, Псков",https://www.avito.ru/pskov/avtomobili/bmw_x5_2016_2027028311
"<img src=""https://21.img.avito.st/208x156/10826378021.jpg"">","BMW X5, 2009","201 000 км, 3.0 AT (235 л.с.), внедорожник, полный, дизель",1 200 000 ₽,-,"Краснодарский край, муниципальное образование Краснодар, хутор Ленина, садовое некоммерческое товарищество Радуга",https://www.avito.ru/krasnodar/avtomobili/bmw_x5_2009_2141667264
"<img src=""https://55.img.avito.st/208x156/10830037555.jpg"">","BMW X5, 2007","170 000 км, 3.0 AT (264 л.с.), внедорожник, полный, бензин",920 000 ₽,-,"Челябинская область, Троицк",https://www.avito.ru/chelyabinskaya_oblast_troitsk/avtomobili/bmw_x5_2007_2066461875
"<img src=""https://02.img.avito.st/208x156/10814481802.jpg"">","BMW X5, 2000","450 000 км, 4.4 AT (286 л.с.), внедорожник, полный, бензин",365 000 ₽,-,Санкт-Петербург,https://www.avito.ru/sankt-peterburg/avtomobili/bmw_x5_2000_2116269909
"<img src=""https://64.img.avito.st/208x156/10146867764.jpg"">","BMW X5, 2009","155 000 км, 4.8 AT (355 л.с.), внедорожник, полный, бензин",910 000 ₽,-,"Москва, Новомосковский административный округ, поселение Сосенское, пос. Коммунарка",https://www.avito.ru/kommunarka/avtomobili/bmw_x5_2009_2046719652
"<img src=""https://81.img.avito.st/208x156/10593628681.jpg"">","BMW X5, 2003","250 000 км, 4.6 AT (347 л.с.), внедорожник, полный, бензин",500 000 ₽,-,"Республика Северная Осетия — Алания, Владикавказ",https://www.avito.ru/vladikavkaz/avtomobili/bmw_x5_2003_2109376444
"<img src=""https://83.img.avito.st/208x156/10820134383.jpg"">","BMW X5, 2002","250 000 км, 3.0 AT (231 л.с.), внедорожник, полный, бензин",380 000 ₽,-,"Астраханская область, Астрахань",https://www.avito.ru/astrahan/avtomobili/bmw_x5_2002_2113208333
"<img src=""https://92.img.avito.st/208x156/10409829192.jpg"">","BMW X5, 2008","230 000 км, 3.0 AT (272 л.с.), внедорожник, полный, бензин",900 000 ₽,-,"Краснодарский край, Сочи",https://www.avito.ru/sochi/avtomobili/bmw_x5_2008_2079141725
"<img src=""https://61.img.avito.st/208x156/10818824861.jpg"">","BMW X5, 2005","261 885 км, 3.0 AT (231 л.с.), внедорожник, полный, бензин",685 000 ₽,-,"Нижегородская область, Нижний Новгород",https://www.avito.ru/nizhniy_novgorod/avtomobili/bmw_x5_2005_2111278722
"<img src=""https://87.img.avito.st/208x156/10819139387.jpg"">","BMW X5, 2008","360 000 км, 4.8 AT (355 л.с.), внедорожник, полный, бензин",700 000 ₽,-,"Республика Татарстан, Казань",https://www.avito.ru/kazan/avtomobili/bmw_x5_2008_2110346177
"<img src=""https://33.img.avito.st/208x156/10609971333.jpg"">","BMW X5, 2020","4.4 AT (462 л.с.), внедорожник, полный, бензин",10 200 000 ₽,-,Москва,https://www.avito.ru/moskva/avtomobili/bmw_x5_2020_2086502760
"<img src=""https://11.img.avito.st/208x156/10830537511.jpg"">","BMW X5, 2006","221 000 км, 4.4 AT (320 л.с.), внедорожник, полный, бензин",665 000 ₽,-,"Смоленская область, Смоленск",https://www.avito.ru/smolensk/avtomobili/bmw_x5_2006_2113764951
"<img src=""https://17.img.avito.st/208x156/10594088317.jpg"">","BMW X5, 2001","219 000 км, 4.4 AT (286 л.с.), внедорожник, полный, бензин",499 000 ₽,-,Москва,https://www.avito.ru/moskva/avtomobili/bmw_x5_2001_2083583213
"<img src=""https://62.img.avito.st/208x156/10738857662.jpg"">","BMW X5, 2011","135 602 км, 3.0 AT (306 л.с.), внедорожник, полный, бензин",1 099 000 ₽,-,Москва,https://www.avito.ru/moskva/avtomobili/bmw_x5_2011_2056164319
"<img src=""https://18.img.avito.st/208x156/10207339818.jpg"">","BMW X5, 2008","181 000 км, 3.0 AT (264 л.с.), внедорожник, полный, бензин",999 990 ₽,-,"Краснодарский край, Краснодар",https://www.avito.ru/krasnodar/avtomobili/bmw_x5_2008_2063370230
"<img src=""https://63.img.avito.st/208x156/10830311663.jpg"">","BMW X5, 2021","3.0 AT (249 л.с.), внедорожник, полный, дизель",7 985 900 ₽,-,Москва,https://www.avito.ru/moskva/avtomobili/bmw_x5_2021_2135657527
"<img src=""https://51.img.avito.st/208x156/10827245751.jpg"">","BMW X5, 2007","159 000 км, 4.8 AT (355 л.с.), внедорожник, полный, бензин",880 000 ₽,-,"Астраханская область, Астрахань",https://www.avito.ru/astrahan/avtomobili/bmw_x5_2007_2110045751
"<img src=""https://67.img.avito.st/208x156/10823414567.jpg"">","BMW X5, 2009","288 000 км, 3.0 AT (269 л.с.), внедорожник, полный, дизель",1 240 000 ₽,-,"Владимирская область, г.о. Владимир",https://www.avito.ru/vladimir/avtomobili/bmw_x5_2009_2114647035
"<img src=""https://50.img.avito.st/208x156/10808559150.jpg"">","BMW X5, 2019","45 983 км, 3.0 AT (249 л.с.), внедорожник, полный, дизель",5 549 000 ₽,-,Москва,https://www.avito.ru/moskva/avtomobili/bmw_x5_2019_2138971037
"<img src=""https://51.img.avito.st/208x156/10596320851.jpg"">","BMW X5, 2014","150 000 км, 3.0 AT (381 л.с.), внедорожник, полный, дизель",2 998 999 ₽,-,"Республика Дагестан, Махачкала",https://www.avito.ru/mahachkala/avtomobili/bmw_x5_2014_2096329180
"<img src=""https://51.img.avito.st/208x156/10766683451.jpg"">","BMW X5, 2016","49 000 км, 3.0 AT (249 л.с.), внедорожник, полный, дизель",3 600 000 ₽,-,"Саратовская область, Саратов",https://www.avito.ru/saratov/avtomobili/bmw_x5_2016_2132634550
"<img src=""https://54.img.avito.st/208x156/10738085154.jpg"">","BMW X5, 2017","72 780 км, 3.0 AT (249 л.с.), внедорожник, полный, дизель",3 699 000 ₽,-,"Московская область, Химки",https://www.avito.ru/himki/avtomobili/bmw_x5_2017_2079362710
"<img src=""https://41.img.avito.st/208x156/10729167141.jpg"">","BMW X5, 2002","310 000 км, 3.0 AT (231 л.с.), внедорожник, полный, бензин",670 000 ₽,-,"Республика Башкортостан, Уфа",https://www.avito.ru/ufa/avtomobili/bmw_x5_2002_2083919019
"<img src=""https://03.img.avito.st/208x156/10819871303.jpg"">","BMW X5, 2020","15 752 км, 3.0 AT (249 л.с.), внедорожник, полный, дизель",6 299 000 ₽,-,"Краснодарский край, Краснодар",https://www.avito.ru/krasnodar/avtomobili/bmw_x5_2020_2128299658
"<img src=""https://36.img.avito.st/208x156/10821571036.jpg"">","BMW X5, 2004","362 000 км, 3.0 AT (231 л.с.), внедорожник, полный, бензин",530 000 ₽,-,"Ростовская область, Ростов-на-Дону",https://www.avito.ru/rostov-na-donu/avtomobili/bmw_x5_2004_2137053589
"<img src=""https://79.img.avito.st/208x156/10811774479.jpg"">","BMW X5, 2007","330 000 км, 3.0 AT (235 л.с.), внедорожник, полный, дизель",1 113 099 ₽,-,"Московская область, Лыткарино",https://www.avito.ru/lytkarino/avtomobili/bmw_x5_2007_2133662339
"<img src=""https://32.img.avito.st/208x156/10811633632.jpg"">","BMW X5, 2003","280 000 км, 4.4 AT (286 л.с.), внедорожник, полный, бензин",310 000 ₽,-,Санкт-Петербург,https://www.avito.ru/sankt-peterburg/avtomobili/bmw_x5_2003_2129079523
"<img src=""https://35.img.avito.st/208x156/10388858035.jpg"">","BMW X5, 2012","141 000 км, 3.0 AT (306 л.с.), внедорожник, полный, бензин",1 550 000 ₽,-,"Пермский край, Пермь",https://www.avito.ru/perm/avtomobili/bmw_x5_2012_2089647839
"<img src=""https://53.img.avito.st/208x156/10594364753.jpg"">","BMW X5, 2001","345 000 км, 3.0 AT (231 л.с.), внедорожник, полный, бензин",537 000 ₽,-,"Тюменская область, Мегион",https://www.avito.ru/megion/avtomobili/bmw_x5_2001_2083913484
"<img src=""https://56.img.avito.st/208x156/10824736056.jpg"">","BMW X5, 2015","35 000 км, 3.0 AT (249 л.с.), внедорожник, полный, дизель",3 530 000 ₽,-,"Челябинская область, Челябинск",https://www.avito.ru/chelyabinsk/avtomobili/bmw_x5_2015_2110222531
"<img src=""https://90.img.avito.st/208x156/10813025390.jpg"">","BMW X5, 2021","3.0 AT (249 л.с.), внедорожник, полный, дизель",от 6 640 000 ₽,7 390 000 ₽ без скидки,Москва,https://www.avito.ru/moskva/avtomobili/bmw_x5_2021_2138666233
"<img src=""https://71.img.avito.st/208x156/10770785171.jpg"">","BMW X5, 2014","163 000 км, 3.0 AT (249 л.с.), внедорожник, полный, дизель",2 695 000 ₽,-,Москва,https://www.avito.ru/moskva/avtomobili/bmw_x5_2014_2104271730
"<img src=""https://64.img.avito.st/208x156/10821709964.jpg"">","BMW X5, 2002","165 000 км, 3.0 AT (231 л.с.), внедорожник, полный, бензин",550 000 ₽,-,"Республика Крым, Джанкой",https://www.avito.ru/dzhankoy/avtomobili/bmw_x5_2002_2126024030
"<img src=""https://65.img.avito.st/208x156/9785329265.jpg"">","BMW X5, 2010","138 262 км, 3.0 AT (272 л.с.), внедорожник, полный, бензин",1 100 000 ₽,-,"Республика Дагестан, Каспийск",https://www.avito.ru/kaspiysk/avtomobili/bmw_x5_2010_2015685799
"<img src=""https://34.img.avito.st/208x156/10585011234.jpg"">","BMW X5, 2007","283 306 км, 4.8 AT (355 л.с.), внедорожник, полный, бензин",670 000 ₽,-,Москва,https://www.avito.ru/moskva/avtomobili/bmw_x5_2007_2092579478
"<img src=""https://57.img.avito.st/208x156/10596543957.jpg"">","BMW X5, 2016","144 240 км, 3.0 AT (249 л.с.), внедорожник, полный, дизель",2 999 000 ₽,-,"Московская область, Химки",https://www.avito.ru/himki/avtomobili/bmw_x5_2016_2089416420
"<img src=""https://10.img.avito.st/208x156/10205907710.jpg"">","BMW X5, 2005","400 000 км, 3.0 AT (231 л.с.), внедорожник, полный, бензин",600 000 ₽,-,"Республика Дагестан, Буйнакск",https://www.avito.ru/buynaksk/avtomobili/bmw_x5_2005_2059243832
"<img src=""https://95.img.avito.st/208x156/10830680695.jpg"">","BMW X5, 2021","3.0 AT (249 л.с.), внедорожник, полный, дизель",7 390 000 ₽,-,Москва,https://www.avito.ru/moskva/avtomobili/bmw_x5_2021_2137962610
"<img src=""https://18.img.avito.st/208x156/10065871418.jpg"">","BMW X5, 2008","265 000 км, 3.0 AT (235 л.с.), внедорожник, полный, дизель",1 350 000 ₽,-,Санкт-Петербург,https://www.avito.ru/sankt-peterburg/avtomobili/bmw_x5_2008_2055877307
"<img src=""https://59.img.avito.st/208x156/10753951859.jpg"">","BMW X5, 2021","3.0 AT (400 л.с.), внедорожник, полный, дизель",от 9 971 400 ₽,10 736 400 ₽ без скидки,Москва,https://www.avito.ru/moskva/avtomobili/bmw_x5_2021_2079516098
"<img src=""https://59.img.avito.st/208x156/10825858459.jpg"">","BMW X5, 2005","255 000 км, 3.0 AT (231 л.с.), внедорожник, полный, бензин",610 000 ₽,-,"Республика Дагестан, Махачкала",https://www.avito.ru/mahachkala/avtomobili/bmw_x5_2005_2118786420
"<img src=""https://50.img.avito.st/208x156/10786781350.jpg"">","BMW X5, 2020","3.0 AT (400 л.с.), внедорожник, полный, дизель",от 9 185 300 ₽,9 950 300 ₽ без скидки,"Московская область, Химки",https://www.avito.ru/himki/avtomobili/bmw_x5_2020_2116892701
"<img src=""https://94.img.avito.st/208x156/10782333394.jpg"">","BMW X5, 2021","3.0 AT (249 л.с.), внедорожник, полный, дизель",от 7 019 000 ₽,7 319 000 ₽ без скидки,"Краснодарский край, Краснодар",https://www.avito.ru/krasnodar/avtomobili/bmw_x5_2021_2139980456
"<img src=""https://67.img.avito.st/208x156/10805316667.jpg"">","BMW X5, 2021","3.0 AT (249 л.с.), внедорожник, полный, дизель",от 6 640 000 ₽,7 390 000 ₽ без скидки,Москва,https://www.avito.ru/moskva/avtomobili/bmw_x5_2021_2138076498
"<img src=""https://92.img.avito.st/208x156/10690202692.jpg"">","BMW X5, 2021","3.0 AT (249 л.с.), внедорожник, полный, дизель",от 8 093 800 ₽,8 903 180 ₽ без скидки,Санкт-Петербург,https://www.avito.ru/sankt-peterburg/avtomobili/bmw_x5_2021_2094142862
"<img src=""https://98.img.avito.st/208x156/10798032698.jpg"">","BMW X5, 2021","4.4 AT (530 л.с.), внедорожник, полный, бензин",от 9 253 100 ₽,10 003 100 ₽ без скидки,Москва,https://www.avito.ru/moskva/avtomobili/bmw_x5_2021_2137944954
"<img src=""https://00.img.avito.st/208x156/10341224500.jpg"">","BMW X5, 2012","120 000 км, 3.0 AT (245 л.с.), внедорожник, полный, дизель",2 050 000 ₽,-,"Саратовская область, Саратов",https://www.avito.ru/saratov/avtomobili/bmw_x5_2012_2062106478
"<img src=""https://43.img.avito.st/208x156/10021497843.jpg"">","BMW X5, 2014","95 000 км, 3.0 AT (249 л.с.), внедорожник, полный, дизель",2 999 900 ₽,-,"Республика Башкортостан, Уфимский р-н, Чесноковский сельсовет, с. Чесноковка",https://www.avito.ru/ufa/avtomobili/bmw_x5_2014_2058068139
"<img src=""https://45.img.avito.st/208x156/9689463045.jpg"">","BMW X5, 2007","190 000 км, 3.0 AT (272 л.с.), внедорожник, полный, бензин",890 000 ₽,-,"Свердловская область, Екатеринбург",https://www.avito.ru/ekaterinburg/avtomobili/bmw_x5_2007_1781199617
"<img src=""https://23.img.avito.st/208x156/10560712623.jpg"">","BMW X5, 2007","185 249 км, 3.0 AT (235 л.с.), внедорожник, полный, дизель",1 020 000 ₽,-,Санкт-Петербург,https://www.avito.ru/sankt-peterburg/avtomobili/bmw_x5_2007_2089513535
"<img src=""https://06.img.avito.st/208x156/10798033106.jpg"">","BMW X5, 2021","3.0 AT (249 л.с.), внедорожник, полный, дизель",от 7 321 000 ₽,8 071 000 ₽ без скидки,Москва,https://www.avito.ru/moskva/avtomobili/bmw_x5_2021_2138644230
"<img src=""https://81.img.avito.st/208x156/10828953781.jpg"">","BMW X5, 2014","129 000 км, 3.0 AT (249 л.с.), внедорожник, полный, дизель",2 450 000 ₽,-,"Нижегородская область, Нижний Новгород",https://www.avito.ru/nizhniy_novgorod/avtomobili/bmw_x5_2014_2117187642
"<img src=""https://70.img.avito.st/208x156/10826898170.jpg"">","BMW X5, 2019","18 930 км, 3.0 AT (249 л.с.), внедорожник, полный, дизель",6 598 353 ₽,-,Москва,https://www.avito.ru/moskva/avtomobili/bmw_x5_2019_2135601371
"<img src=""https://06.img.avito.st/208x156/10364749706.jpg"">","BMW X5, 2006","180 000 км, 4.4 AT (329 л.с.), внедорожник, полный, бензин",200 000 ₽,-,"Республика Ингушетия, Назрань",https://www.avito.ru/nazran/avtomobili/bmw_x5_2006_2060863286
"<img src=""https://44.img.avito.st/208x156/10823748544.jpg"">","BMW X5, 2009","313 000 км, 3.0 AT (235 л.с.), внедорожник, полный, дизель",1 300 000 ₽,-,"Ленинградская область, Кингисеппский р-н, Пустомержское сельское поселение, д. Большая Пустомержа",https://www.avito.ru/kingisepp/avtomobili/bmw_x5_2009_2127746483
"<img src=""https://39.img.avito.st/208x156/10810180939.jpg"">","BMW X5, 2004","444 000 км, 3.0 AT (231 л.с.), внедорожник, полный, бензин",570 000 ₽,-,"Иркутская область, Иркутск",https://www.avito.ru/irkutsk/avtomobili/bmw_x5_2004_2116763515
"<img src=""https://66.img.avito.st/208x156/10830311666.jpg"">","BMW X5, 2021","3.0 AT (249 л.с.), внедорожник, полный, дизель",8 072 400 ₽,-,Москва,https://www.avito.ru/moskva/avtomobili/bmw_x5_2021_2135048782
"<img src=""https://31.img.avito.st/208x156/10618883431.jpg"">","BMW X5, 2010","170 000 км, 3.0 AT (306 л.с.), внедорожник, полный, дизель",1 550 000 ₽,-,"Мурманская область, Мурманск",https://www.avito.ru/murmansk/avtomobili/bmw_x5_2010_2089123339
"<img src=""https://05.img.avito.st/208x156/10589314205.jpg"">","BMW X5, 2009","203 000 км, 3.0 AT (272 л.с.), внедорожник, полный, бензин",1 029 299 ₽,-,"Костромская область, Кострома",https://www.avito.ru/kostroma/avtomobili/bmw_x5_2009_1046197040
"<img src=""https://20.img.avito.st/208x156/10826283120.jpg"">","BMW X5, 2020","2 307 км, 2.0 AT (231 л.с.), внедорожник, полный, дизель",5 297 000 ₽,-,Москва,https://www.avito.ru/moskva/avtomobili/bmw_x5_2020_2139410457
"<img src=""https://47.img.avito.st/208x156/10820719247.jpg"">","BMW X5, 2004","300 000 км, 3.0 AT (231 л.с.), внедорожник, полный, бензин",400 000 ₽,-,"Москва, Новомосковский административный округ, поселение Щербинка, Щербинка",https://www.avito.ru/scherbinka/avtomobili/bmw_x5_2004_2140626538
"<img src=""https://20.img.avito.st/208x156/10824455920.jpg"">","BMW X5, 2009","230 000 км, 3.0 AT (235 л.с.), внедорожник, полный, дизель",1 150 000 ₽,-,"Ставропольский край, Ставрополь",https://www.avito.ru/stavropol/avtomobili/bmw_x5_2009_2135596478
"<img src=""https://51.img.avito.st/208x156/10498953451.jpg"">","BMW X5, 2015","145 000 км, 3.0 AT (249 л.с.), внедорожник, полный, дизель",2 350 000 ₽,-,"Краснодарский край, Сочи",https://www.avito.ru/sochi/avtomobili/bmw_x5_2015_2043286621
"<img src=""https://46.img.avito.st/208x156/10809766546.jpg"">","BMW X5, 2021","3.0 AT (249 л.с.), внедорожник, полный, дизель",от 7 690 000 ₽,8 459 000 ₽ без скидки,"Москва, Новомосковский административный округ",https://www.avito.ru/moskva/avtomobili/bmw_x5_2021_2138602030
"<img src=""https://16.img.avito.st/208x156/10827175216.jpg"">","BMW X5, 2002","300 000 км, 3.0 AT (231 л.с.), внедорожник, полный, бензин",550 000 ₽,-,"Республика Башкортостан, Уфа",https://www.avito.ru/ufa/avtomobili/bmw_x5_2002_2133919653
"<img src=""https://78.img.avito.st/208x156/10824563678.jpg"">","BMW X5, 2013","163 700 км, 4.4 AT (450 л.с.), внедорожник, полный, бензин",2 250 000 ₽,-,Москва,https://www.avito.ru/moskva/avtomobili/bmw_x5_2013_2111813638
"<img src=""https://35.img.avito.st/208x156/10753762635.jpg"">","BMW X5, 2021","3.0 AT (340 л.с.), внедорожник, полный, бензин",от 8 022 100 ₽,8 787 100 ₽ без скидки,Москва,https://www.avito.ru/moskva/avtomobili/bmw_x5_2021_2111363002
"<img src=""https://72.img.avito.st/208x156/10801645372.jpg"">","BMW X5, 2002","350 000 км, 4.4 AT (286 л.с.), внедорожник, полный, бензин",320 000 ₽,-,"Чеченская Республика, Грозный",https://www.avito.ru/groznyy/avtomobili/bmw_x5_2002_2140020511
"<img src=""https://17.img.avito.st/208x156/10077639017.jpg"">","BMW X5, 2008","275 000 км, 3.0 AT (264 л.с.), внедорожник, полный, бензин",850 000 ₽,-,"Калининградская область, Гурьевский г.о., пос. Васильково",https://www.avito.ru/vasilkovo/avtomobili/bmw_x5_2008_2057025521
"<img src=""https://53.img.avito.st/208x156/10668033453.jpg"">","BMW X5, 2021","3.0 AT (340 л.с.), внедорожник, полный, дизель",7 700 000 ₽,-,Москва,https://www.avito.ru/moskva/avtomobili/bmw_x5_2021_2086121803
"<img src=""https://45.img.avito.st/208x156/10833316645.jpg"">","BMW X5, 2010","149 000 км, 3.0 AT (235 л.с.), внедорожник, полный, дизель",1 750 000 ₽,-,Москва,https://www.avito.ru/moskva/avtomobili/bmw_x5_2010_2112458238
"<img src=""https://33.img.avito.st/208x156/10753014233.jpg"">","BMW X5, 2017","88 829 км, 3.0 AT (381 л.с.), внедорожник, полный, дизель",3 839 000 ₽,-,"Ростовская область, Ростов-на-Дону",https://www.avito.ru/rostov-na-donu/avtomobili/bmw_x5_2017_2104615947
"<img src=""https://34.img.avito.st/208x156/9010369234.jpg"">","BMW X5, 2005","220 000 км, 3.0 AT (231 л.с.), внедорожник, полный, бензин",640 000 ₽,-,"Астраханская область, Астрахань",https://www.avito.ru/astrahan/avtomobili/bmw_x5_2005_1972439475
